OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31333,01807,Hickory Fire Department,2,1305 9th Ave NE,Hickory,NC,Catawba,28601,35.74132613,-81.31276437,-81.31276437,35.7413261300001
31334,01807,Hickory Fire Department,3,135 11th Street NW,Hickory,NC,Catawba,28601,35.7344,-81.3573,-81.3573,35.7344000000001
31335,01807,Hickory Fire Department,4,3101 9th Avenue,Hickory,NC,Catawba,28601,35.74251819,-81.38794291,-81.3879429099999,35.7425181900001
31336,01807,Hickory Fire Department,5,1425 21st Street Drive SE,Hickory,NC,Catawba,28601,35.70363601,-81.27908391,-81.2790839099999,35.70363601
31337,01807,Hickory Fire Department,6,3036 North Center Street,Hickory,NC,Catawba,28601,35.7736,-81.3283,-81.3283,35.7736
31338,01807,Hickory Fire Department,7,465 Catawba Valley Blvd,Hickory,NC,Catawba,28601,35.7039,-81.3288,-81.3287999999999,35.7039
31339,00909,"Hickory Grove Volunteer Fire Department, Inc. of Bladen County",1,136 W NC 210 Hwy,Garland ,NC,Bladen,28441,34.74934408,-78.42353563,-78.4235356299999,34.7493440800001
31340,09109,Hicksboro Fire Department,1,6595 Hicksboro Road,Oxford,NC,Vance,27565,36.43088705,-78.50106974,-78.5010697399999,36.43088705
31341,09109,Hicksboro Fire Department,2,2589 Thomas Road,Henderson,NC,Vance,27537,36.44094558,-78.39959656,-78.39959656,36.4409455800001
31342,00203,"Hiddenite Fire Department, Inc.",1,4975 E. NC 90 Hwy,Hiddenite,NC,Alexander,28636,35.90219774,-81.09282875,-81.09282875,35.9021977400001
31343,00203,"Hiddenite Fire Department, Inc.",2,4472 Cheatham Ford Road,Hiddenite,NC,Alexander,28636,35.93481313,-81.04260688,-81.0426068799999,35.9348131300001
31344,04130,High Point Fire Department,1,508 North Centennial,High Point,NC,Guilford,27260,35.9658673,-80.0017,-80.0017,35.9658673000001
